Geographic Area,City,percent_completed_hs,,
AL,Abanda CDP,21.2,CDP,3
AL,Abbeville city,69.1,city,4
AL,Adamsville city,78.9,city,4
AL,Addison town,81.4,town,4
AL,Akron town,68.6,town,4
AL,Alabaster city,89.3,city,4
AL,Albertville city,72.7,city,4
AL,Alexander City city,78.1,City city,9
AL,Alexandria CDP,88.8,CDP,3
AL,Aliceville city,74.3,city,4
AL,Allgood town,48.1,town,4
AL,Altoona town,66.9,town,4
AL,Andalusia city,81.1,city,4
AL,Anderson town,85.7,town,4
AL,Anniston city,79.8,city,4
AL,Arab city,87.6,city,4
AL,Ardmore town,77.7,town,4
AL,Argo town,87.5,town,4
AL,Ariton town,71.3,town,4
AL,Arley town,80.6,town,4
AL,Ashford town,83.5,town,4
AL,Ashland town,77.9,town,4
AL,Ashville city,77.6,city,4
AL,Athens city,83.4,city,4
AL,Atmore city,73.7,city,4
AL,Attalla city,76,city,4
AL,Auburn city,94.3,city,4
AL,Autaugaville town,71.2,town,4
AL,Avon town,82.8,town,4
AL,Axis CDP,79.9,CDP,3
AL,Babbie town,81.2,town,4
AL,Baileyton town,74.7,town,4
AL,Bakerhill town,72.4,town,4
AL,Ballplay CDP,80.3,CDP,3
AL,Banks town,73,town,4
AL,Bay Minette city,79.1,#VALUE!,#VALUE!
AL,Bayou La Batre city,58.5,city,4
AL,Bear Creek town,76.7,town,4
AL,Beatrice town,89.1,town,4
AL,Beaverton town,87.9,town,4
AL,Belgreen CDP,87,CDP,3
AL,Belk town,63.8,town,4
AL,Bellamy CDP,86.5,CDP,3
AL,Belle Fontaine CDP,91.9,CDP,3
AL,Benton town,100,town,4
AL,Berry town,65.4,town,4
AL,Bessemer city,81.5,city,4
AL,Billingsley town,71.3,town,4
AL,Birmingham city,85.1,city,4
AL,Black town,90,town,4
AL,Blountsville town,73.1,town,4
AL,Blue Ridge CDP,97.6,CDP,3
AL,Blue Springs town,95.6,town,4
AL,Boaz city,76.6,city,4
AL,Boligee town,79.9,town,4
AL,Bon Air town,85.7,#VALUE!,#VALUE!
AL,Bon Secour CDP,79,CDP,3
AL,Boykin CDP,53.7,CDP,3
AL,Brantley town,75.1,town,4
AL,Brantleyville CDP,85.1,CDP,3
AL,Brent city,73.8,city,4
AL,Brewton city,84.5,city,4
AL,Bridgeport city,74.9,city,4
AL,Brighton city,78.6,city,4
AL,Brilliant town,75.9,town,4
AL,Bristow Cove CDP,65.1,CDP,3
AL,Brook Highland CDP,96.2,CDP,3
AL,Brookside town,78.7,town,4
AL,Brookwood town,83.1,town,4
AL,Broomtown CDP,66.2,CDP,3
AL,Brundidge city,77.2,city,4
AL,Bucks CDP,100,CDP,3
AL,Butler town,80.2,town,4
AL,Calera city,89.1,city,4
AL,Calvert CDP,22.8,CDP,3
AL,Camden city,82.8,city,4
AL,Camp Hill town,76.6,town,4
AL,Carbon Hill city,65.4,city,4
AL,Cardiff town,72.7,town,4
AL,Carlisle-Rockledge CDP,73.1,CDP,3
AL,Carlton CDP,77,CDP,3
AL,Carolina town,87.8,town,4
AL,Carrollton town,71,town,4
AL,Castleberry town,75.9,town,4
AL,Catherine CDP,100,CDP,3
AL,Cedar Bluff town,77.9,town,4
AL,Center Point city,87.1,city,4
AL,Centre city,76.7,city,4
AL,Centreville city,81.6,city,4
AL,Chatom town,76,town,4
AL,Chelsea city,93.5,city,4
AL,Cherokee town,80.9,town,4
AL,Chickasaw city,79.9,city,4
AL,Childersburg city,78.8,city,4
AL,Choccolocco CDP,89.4,CDP,3
AL,Chunchula CDP,91.2,CDP,3
AL,Citronelle city,82.5,city,4
AL,Clanton city,76.8,city,4
AL,Clay city,92.2,city,4
AL,Clayhatchee town,85.3,town,4
AL,Clayton town,57.8,town,4
AL,Cleveland town,74.4,town,4
AL,Clio city,63.1,city,4
AL,Coaling town,88.2,town,4
AL,Coats Bend CDP,90.9,CDP,3
AL,Coffee Springs town,78,town,4
AL,Coffeeville town,71.7,town,4
AL,Coker town,89.2,town,4
AL,Collinsville town,52,town,4
AL,Colony town,77,town,4
AL,Columbia town,79,town,4
AL,Columbiana city,74.4,city,4
AL,Concord CDP,91.3,CDP,3
AL,Coosada town,84.3,town,4
AL,Cordova city,79.8,city,4
AL,Cottondale CDP,74.9,CDP,3
AL,Cottonwood town,76.3,town,4
AL,County Line town,83.9,town,4
AL,Courtland town,79.6,town,4
AL,Cowarts town,86,town,4
AL,Creola city,84.4,city,4
AL,Crossville town,70.4,town,4
AL,Cuba town,92.1,town,4
AL,Cullman city,85.3,city,4
AL,Cullomburg CDP,93.4,CDP,3
AL,Cusseta town,83.7,town,4
AL,Dadeville city,73.7,city,4
AL,Daleville city,85.3,city,4
AL,Daphne city,95.8,city,4
AL,Dauphin Island town,95.8,town,4
AL,Daviston town,87.8,town,4
AL,Dayton town,100,town,4
AL,Deatsville town,96.3,town,4
AL,Decatur city,82.7,city,4
AL,Deer Park CDP,86.3,CDP,3
AL,Delta CDP,87,CDP,3
AL,Demopolis city,89.1,city,4
AL,Detroit town,64.8,town,4
AL,Dodge City town,81.7,town,4
AL,Dora city,82.3,city,4
AL,Dothan city,86.2,city,4
AL,Double Springs town,74.5,town,4
AL,Douglas town,78.5,town,4
AL,Dozier town,79.1,town,4
AL,Dunnavant CDP,76,CDP,3
AL,Dutton town,90.6,town,4
AL,East Brewton city,83.6,city,4
AL,East Point CDP,91.4,CDP,3
AL,Eclectic town,84.2,town,4
AL,Edgewater CDP,84.1,CDP,3
AL,Edwardsville town,87,town,4
AL,Egypt CDP,84.9,CDP,3
AL,Elba city,76.9,city,4
AL,Elberta town,85.8,town,4
AL,Eldridge town,75,town,4
AL,Elkmont town,78.2,town,4
AL,Elmore town,70.5,town,4
AL,Emelle town,79.3,town,4
AL,Emerald Mountain CDP,90.9,CDP,3
AL,Enterprise city,89.2,city,4
AL,Epes town,81.6,town,4
AL,Ethelsville town,80.6,town,4
AL,Eufaula city,81.5,city,4
AL,Eunola CDP,96.1,CDP,3
AL,Eutaw town,73.2,town,4
AL,Eva town,91.2,#VALUE!,#VALUE!
AL,Evergreen city,79.2,city,4
AL,Excel town,86,town,4
AL,Fairfield city,88.9,city,4
AL,Fairford CDP,57.6,CDP,3
AL,Fairhope city,95.4,city,4
AL,Fairview town,82,town,4
AL,Falkville town,65.1,town,4
AL,Faunsdale town,85.7,town,4
AL,Fayette city,79.1,city,4
AL,Fayetteville CDP,68.5,CDP,3
AL,Fitzpatrick CDP,60.7,CDP,3
AL,Five Points town,61.9,town,4
AL,Flomaton town,77.3,town,4
AL,Florala town,79.6,town,4
AL,Florence city,84.4,city,4
AL,Foley city,91.5,city,4
AL,Forestdale CDP,93.5,CDP,3
AL,Forkland town,74.1,town,4
AL,Fort Deposit town,70.5,town,4
AL,Fort Payne city,67.7,city,4
